phi,coronal,sagittal
0,1,1
0.000714286,0,1
0.00142857,1,1
0.00214286,-1,1
0.00285714,0,1
0.00357143,-1,1
0.00428571,1,1
0.005,-1,1
0.00571429,0.11023,1
0.00642857,0.888635,1
0.00714286,0.799281,1
0.00785714,0.723109,1
0.00857143,0.670743,1
0.00928571,0.647266,1
0.01,0.660515,1
0.0107143,0.668472,1
0.0114286,0.645226,1
0.0121429,0.583391,1
0.0128571,0.559555,1
0.0135714,0.545099,1
0.0142857,0.526307,1
0.015,0.508066,1
0.0157143,0.493407,1
0.0164286,0.48051,1
0.0171429,0.468569,1
0.0178571,0.459893,1
0.0185714,0.452066,1
0.0192857,0.446897,1
0.02,0.44196,1
0.0207143,0.439307,1
0.0214286,0.436494,1
0.0221429,0.435605,1
0.0228571,0.434209,1
0.0235714,0.434503,1
0.0242857,0.434135,1
0.025,0.435252,1
0.0257143,0.436254,1
0.0264286,0.43647,1
0.0271429,0.438528,1
0.0278571,0.440441,1
0.0285714,0.441998,1
0.0292857,0.443723,1
0.03,0.44572,1
0.0307143,0.447893,1
0.0314286,0.450156,1
0.0321429,0.452078,1
0.0328571,0.453866,1
0.0335714,0.455587,1
0.0342857,0.457238,1
0.035,0.458787,1
0.0357143,0.460183,1
0.0364286,0.461433,1
0.0371429,0.462564,1
0.0378571,0.463526,1
0.0385714,0.466016,1
0.0392857,0.468616,1
0.04,0.47083,1
0.0407143,0.47248,1
0.0414286,0.476096,1
0.0421429,0.477639,1
0.0428571,0.478529,1
0.0435714,0.481117,1
0.0442857,0.482128,1
0.045,0.482624,1
0.0457143,0.483275,1
0.0464286,0.484823,1
0.0471429,0.486558,1
0.0478571,0.488712,1
0.0485714,0.4928,1
0.0492857,0.49586,1
0.05,0.498141,1
0.0507143,0.499701,1
0.0514286,0.503365,1
0.0521429,0.507248,1
0.0528571,0.504275,1
0.0535714,0.504874,1
0.0542857,0.505827,1
0.055,0.50691,1
0.0557143,0.507605,1
0.0564286,0.508292,1
0.0571429,0.508794,1
0.0578571,0.508932,1
0.0585714,0.509035,1
0.0592857,0.508862,1
0.06,0.508544,1
0.0607143,0.508255,1
0.0614286,0.507872,1
0.0621429,0.507399,1
0.0628571,0.506877,1
0.0635714,0.506324,1
0.0642857,0.505755,1
0.065,0.505178,1
0.0657143,0.504601,1
0.0664286,0.504029,1
0.0671429,0.503466,1
0.0678571,0.457061,1
0.0685714,0.455526,1
0.0692857,0.471733,1
0.07,0.311692,0.530436
0.0707143,0.697227,0.610527
0.0714286,0.657029,0.628821
0.0721429,0.344632,0.617869
0.0728571,0.69438,0.608003
0.0735714,0.665021,0.614312
0.0742857,0.344585,0.605677
0.075,0.707922,0.592939
0.0757143,0.671784,0.605848
0.0764286,0.647196,0.607882
0.0771429,0.326455,0.597996
0.0778571,0.392661,0.615361
0.0785714,0.738058,0.575142
0.0792857,0.683747,0.600927
0.08,0.657306,0.60044
0.0807143,0.635364,0.597845
0.0814286,0.306698,0.582258
0.0821429,0.36137,0.601939
0.0828571,0.70736,0.575533
0.0835714,0.649441,0.578958
0.0842857,0.302918,0.56944
0.085,0.344837,0.572582
0.0857143,0.714751,0.440698
0.0864286,0.630824,0.620633
0.0871429,0.285058,0.457962
0.0878571,0.355906,0.630532
0.0885714,0.683101,0.581236
0.0892857,0.322838,0.447127
0.09,0.66882,0.620591
0.0907143,0.662306,0.45059
0.0914286,0.326698,0.632136
0.0921429,0.332288,0.589373
0.0928571,0.696652,0.446524
0.0935714,0.314761,0.618294
0.0942857,0.312572,0.458549
0.095,0.648835,0.633539
0.0957143,0.328042,0.589273
0.0964286,0.678904,0.439909
0.0971429,0.339093,0.625707
0.0978571,0.6747,0.451151
0.0985714,0.333115,0.631352
0.0992857,0.33377,0.590904
0.1,0.679088,0.439551
0.100714,0.339089,0.626159
0.101429,0.669355,0.450357
0.102143,0.329854,0.631918
0.102857,0.326798,0.591069
0.103571,0.667388,0.438413
0.104286,0.331895,0.62713
0.105,0.311465,0.458172
0.105714,0.634212,0.637906
0.106429,0.317668,0.589917
0.107143,0.654617,0.437261
0.107857,0.324178,0.628286
0.108571,0.29953,0.461457
0.109286,0.62473,0.63761
0.11,0.304576,0.586796
0.110714,0.310654,0.44924
0.111429,0.629076,0.633485
0.112143,0.291152,0.463042
0.112857,0.340364,0.631976
0.113571,0.639719,0.595855
0.114286,0.291363,0.449064
0.115,0.332323,0.626591
0.115714,0.651614,0.446966
0.116429,0.322222,0.635463
0.117143,0.305839,0.588539
0.117857,0.311171,0.451264
0.118571,0.628872,0.634988
0.119286,0.311162,0.586853
0.12,0.310465,0.449662
0.120714,0.62818,0.633689
0.121429,0.287271,0.462706
0.122143,0.339517,0.630457
0.122857,0.639416,0.596225
0.123571,0.291171,0.449262
0.124286,0.332308,0.625786
0.125,0.652611,0.446252
0.125714,0.322566,0.634559
0.126429,0.308419,0.588409
0.127143,0.314505,0.449759
0.127857,0.632869,0.633342
0.128571,0.295004,0.461223
0.129286,0.621514,0.637073
